ID,SU
firman-nya,firman-Na
fisik,
fluorida,
forum,
foto,poto
fotonya,potona
fraksinya,fraksina
fundamental,fundaméntal
gabungan,
gading,
gagal,
gagang,perah
gagap,arap-ap eureup-eup
gagasan,alpukah
gaib,
gajah,
gak,teu
galah,gantar
galeri,galéri
gambar,
gampang,
ganda,dobel
gangguan,
ganjal,ginjel
ganteng,kasép
ganti,
gantinya,gantina
garis,gurat
gas,
gasnya,gasna
gatal,ateul
gaung,aweuhan
gaya,
gebrak,gebrag
gedung,gedong
gedung-gedung,gedong-gedong
gegabah,lalawora
gelagat,galagat
gelambir,gaber
gelang,pinggel
gelar,
gelas,
geledah,garadah
gelegar,jedur
geletar,geleger
geli,géték
gelinding,gorolong
gelinjang,gurinjal
gelombang,lambak
gelora,galura
gema,aweuhan
gembira,atoh
gembira,hégar
gembira,bérag
gempa,lini
genangan,kuyumbang
gendang,kendang
gender,génder
gendong,gandong
gendut,nyemplu
genit,centil
genteng,kenténg
geologi,géologi
gerah,hareudang
geraham,careham
gerai,kios
gerak,unggut
gerhana,samagaha
gerimis,praspris
gerutu,gelendeng
geser,gésér
geser,iser
gesit,kesit
getah,geutah
getaran,geter
gigi,huntu
gigit,coco
gila,gélo
giling,
gimana,kumaha
gini,kieu
ginseng,ginséng
gitar,
gitu,kitu
gizi,giji
godaan,rancana
golok,bedog
golongan,
golongan,golongan
gonggongan,gogog
goreng,goréng
gorengnya,goréngna
granat,
gratis,haratis
gratis,garatis
gratisan,nu haratis
grup,
gubernur,
gudang,
gula,
gulat,
gunakan,paké
gunanya,gunana
guncang,oyag
gunung,
gurih,pelem
guru,
habis,béak
habis-habisan,bébéakan
habiskan,béakkeun
hadapi,sanghareupan
hadiah,kado
hadiahnya,kadona
hadir,
hadiri,ngahadiran
hafalan,apalan
hajat,
haji,
hak,
hakim,
hal,
halangi,halangan
halilintar,guludug
halus,lemes
hambar,cawérang
hambatan,tahanan
hampir,ampir
hancur,ancur
handuk,anduk
hangat,haneut
hantu,jurig
hanya,ngan
hanyalah,saukur
hanyut,palid
harapan,harepan
harapkan,harepkeun
hardik,gebes
harga,
harganya,hargana
hari,poé 
harian,poéan
harimau,maung
harinya,poéna
harta,
harum,seungit
harus,kudu
hasil,
hasilnya,hasilna
hasutan,hasudan
hati,ati
hati,haté
hatinya,haténa
hawa,
hebat,hébat
heboh,gujrud
heboh,geunjleung
hektare,héktar
hemat,irit
hemat,gemi
hemat,iker
hendak,rék
hendaknya,hadéna
hentikan,eureunkeun
heran,ituh
herbivora,
heroik,
hewan,sato
hiburan,
hidung,irung
hidup,hirup
hidupnya,hirupna
hijau,héjo
hikmah,
hilang,leungit
hilangnya,ilangna
hilangnya,leungitna
hingga,nepi ka
hinggap,eunteup
hitam,wulung
hitam,hideung
hitung,itung
honor,
hormat,
hotel,hotél
hubungan,
hubungannya,hubunganana
hubungkan,sambungkeun
hujan,
hukum,
hukuman,
humaniora,
huru-hara,uru-ara
huruf,hurup
hutan,leuweung
hutang,
ia,manéhna
ibadah,
ibu,ibu
ibunya,indungna
ide,ideu
ideal,idéal
identik,idéntik
ideologi,idéologi
ihwal,hal
ijin,idin
ikal,galing
ikan,lauk
ikhwal,ihwal
iklan,pariwara
ikut,milu
ikut,ngilu
ikutan,miluan
ikuti,turutan
ilegal,teu légal
iler,lého
ilmiah,
ilmu,élmu
iman,
imbang,imbang
imbas,akibat
imbuh,émboh
imbuhan,rarangkén
imbuhnya,émbohna
impor,
imunisasi,
indah,éndah
indahnya,éndahna
indeks,indéks
industri,
info,
informasi,
ingat,inget
ingin,hayang
inginkan,hayang
ingkar,jalir
ingus,lého
ini,ieu
inilah,ieu pisan
inisiatif,alpukah
injil,
inovasi,
inspektur,inspéktur
instruktur,
intelijen,
interaktif,
interior,
internasional,
internet,
intimidasi,
intinya,intina
investasi,
iptek,épték
irama,wirahma
isak,segruk
isi,eusi
isinya,eusina
islam,
israel,israél
istana,karaton
istananya,karatonna
isteri,pamajikan
istilah,
istimewa,istimiwa
istirahat,reureuh
istri,pamajikan
isya,isa
itu,éta
itulah,éta pisan
iuran,udunan
iya,heueuh
izin,idin
jabatan,kalungguhan
jabatannya,jabatanna
jadi,
jadwal,
jagat,
jago,
jagoan,jadug
jahil,jail
jahit,kaput
jajahan,
jajaran,
jaksa,
jalan,
jalani,jalanan
jalankan,jalankeun
jam,
jamaah,
jamak,loba
jambak,
jambu,
jaminan,
jampi,jampé
jamu,
jamuan/upah,pupulur
jamur,suweng
janda,randa
jangan,montong
jangan,entong
jangan,ulah
jangan,tong
jangankan,tong boro
janganlah,ulah
jangkauan,hontalan
jangkauannya,hontalanana
jangkung,
janji,subaya
janji,jangji
janji,pasini
jantan,jalu
januari,
jarang,arang
jari,ramo
jaringan,raramat
jasa,
jatuh,labuh
jatuh,murag
jatuhnya,gubragna
jauh,laér
jauhnya,jauhna
jawab,
jawabnya,témbalna
jaya,
jejak,tapak
jejer,béngbréng
jelantah,jalantah
jelas,nembrak
jelas,cékas
jelas,natrat
jelas,
jelas,ébréh
jelas,écés
jelas-jelas,nyata
jelaskan,écéskeun
jelaskan,wawarkeun
jelek,awon
jelita,geulis
jemaah,jamaah
jenazah,layon
jendela,jandela
jenderal,
jendral,jéndral
jenis,
jeniusnya,jeniusna
jepret,betrik
jera,kapok
jeruk,
jeruknya,jerukna
jewer,jiwir
jibril,
jijik,jarijipen
jika,lamun
jilat,létak
jinak,lindeuk
jingga,oranyeu
jinjing,jingjing
jiwa,
jiwanya,jiwana
jongkok,cingogo
jual,
juara,jawara
judi,
judi,maén
judul,
juga,ogé
jujur,
juli,
julukan,landian
jumat,jumaah
jumatan,jumaahan
jumlah,
jumlahnya,jumlahna
jumpa,tepung
juni,
juragan,
jurnal,
jurnalis,wartawan
juru,
jurusan,
justru,malahan
juta,
juta,
jutaan,
kabar,béja
kabar-berita,raratan
kabarnya,béjana
kabel,
kabinet,kabinét
kabupaten,kabupatén
kabur,
kabut,halimun
kabut,pepedut
kacamata,tasma
kadang,sakapeung
kadang-kadang,sakapeung
kader,
kaget,reuwas
kagum,kataji
kail,pancing
kain,lawon
kait,gaet
kaitan,
kaitannya,kaitanana
kaitannya,patalina
kakak,lanceuk
kakak,akang
kakek,aki
kakeknya,akina
kaki,suku
kaki,cokor
kakinya,sukuna
kaku,jengker
kaku,jeger
kala,basa
kalah,éléh
kalah,kéok
kalangan,golongan
kalau,lamun
kalaupun,lamun
kalian,maranéh
kaliber,
kalimat,kalimah
kalimat-nya,kalimah-Na
kalo,lamun
kalung,kongkorong
kamar,
kambing,embé
kambuh,kanceuh
kamera,kaméra
kami,urang
kami,kami
kamis,kemis
kampung,lembur
kampung,dusun
kampung,
kampus,
kamtib,
kamu,ilaing
kamu,manéh
kamus,
kan,pan
kanan,katuhu 
kancil,peucang
kandidat,calon
kandungan,
kantong,
kantor,
kapal,
kapan,iraha
kapok,kapuk
kapten,kaptén
karakter,sipat
karat,
karena,alatan
karena,pédah
karenanya,lantaran éta
karet,karét
karetnya,karétna
karir,
kartu,
karusakan,karuksakan
karya,
karyawan,pagawé
kasar,dugal
kasar,garihal
kasasi,
kasih,kaasih
kasihan,watir
kasihan,karunya
kasus,perkara
kasusnya,kasusna
kata,kecap
kata,ceuk
katakanlah,kedalkeun
katanya,pokna
katanya,magah
katanya,cenah
kategori,
katolik,
kaum,
kawan,kanca
kawasan,wewengkon
kaya,jegud
kaya,beunghar
kayak,jiga
kayaknya,jigana
kayu,kai
ke,ka
ke,kana
keadaan,kaayaan
keadilan,kaadilan
keagamaan,kaagamaan
keamanan,kaamanan
keamanannya,kaamananana
keanehan,kaanéhan
keanggotaan,kaanggotaan
keasyikan,pogot
kebahagiaan,kabagjaan
kebangsaan,kabangsaan
kebanyakan,lolobana
kebaya,kabaya
kebebasan,kabébasan
kebebasan,kabébasan
kebebasannya,kabébasanana
keberadaan,ayana
keberadaannya,di mana ayana
keberatan,kabeuratan
kebersihan,kaberesihan
kebetulan,pareng
kebiadaban,katelengesan
kebiasaan,kabiasaan
kebijakan,kawijakan
kebudayaan,kabudayaan
kebun,kebon
kebutuhan,kaperluan
kecamatan,kacamatan
kecanduan,nyandu
kecantikan,kageulisan
kecelakaan,kacilakaan
kecemasan,kahariwang
kecewana,kuciwana
kecewanya,hanjeluna
kecil,leutik
kecil,huni
kecintaan,katresna
kecuali,iwal
kecuali,kajaba
kedalaman,jejero
kedapatan,kapanggih
kedatangan,kadatangan
kedatangan,datangna
kedatangannya,kadatanganana
kedaulatan,kadaulatan
keder,kédér
kediaman,panyicingan
kediamannya,panyicinganana
kedipan,kiceupan
kedua,kadua
kedua-duanya,duanana
keduanya,duanana
kedudukan,kalungguhan
keempat,kaopat
keengganan,kahoréam
keesaan,kaésaan
keesokan,isuk
kegagalan,kagagalan
kegerahan,bayeungyang
kegiatan,kagiatan
kegiatannya,kagiatanana
kegunaan,pamakéan
kehadirannya,datangna
kehakiman,kahakiman
kehangatan,haneutna
kehidupan,kahirupan
kehidupannya,kahirupanana
kehilangan,kaleungitan
kehormatan,cahara
kehutanan,pileuweungan
keinginan,kahayang
keinginannya,kahayangna
kejadian,kajadian
kejaksaan,kajaksaan
kejam,telenges
kejar,berik
kejar,udag
kejut,ranyed
kekacauan,bancang pakéwuh
kekalahan,kaéléh
kekar,keker
kekasih,kabogoh
kekayaan,rajakaya
kekayaan,kakayaan
kekecewaan,kakuciwa
kekejaman,kakejeman
kekeluargaan,kakulawargaan
kekhawatiran,kasalempang
kekhilafan,kahilapan
kekuasaan,kakawasaan
kekuatan,kakuatan
kekurangan,kakurangan
kelahiran,kalahiran
kelak,jaga
kelakuan,lampah
kelamin,
kelapa,kalapa
kelapangan,kajembaran
kelaparan,kalaparan
kelas,
kelebihan,kaleuwihan
kelebihannya,kaleuwihanana
kelelawar,lalay
kelihatan,katempo
kelihatannya,katempona
keliling,ubeng
keliling,kuriling
kelima,kalima
kelimis,kulimis
kelingking,cingir
keliru,kaliru
kelompok,jumplukan
kelonggaran,kalaluasaan
keluar,kaluar
keluar,bijil
keluar/berhenti,lugay
keluarga,kulawarga
keluarganya,kulawargana
keluarnya,kaluarna
keluhan,kahumandeuar
kelurahan,kalurahan
keluyuran,nguluyur
kemahiran,kamahéran
kemajuan,kamajuan
kemakmuran,kamakmuran
kemampuan,pangabisa
kemampuannya,kamampuhanana
kemanapun,ka mana ogé
kemandirian,kamandirian
kemanusiaan,kamanusaan
kemarahan,kaambek
kemarau,halodo
kemaren,kamari
kemarin,kamari
kemasukan,kaasupan
kemasyarakatan,kamasarakatan
kematian,tiwasna
kematian,pati
kematiannya,maotna
kembali,balik
kembali,ampih
kembang,
kemben,kekemben
kemegahan,angkeuh
kemekaran,kamekaran
kemenangan,kameunang
kemenyan,menyan
kemerdekaan,kamerdikaan
kemerosotan,morosotna
kemiliteran,kamilitéran
kemiskinan,kamiskinan
kempes,kempés
kemudahan,gampangna
kemudi,kamudi
kemudian,saterusna
kemungkinan,jigana
kena,keuna
kenabian,kanabian
kenaikan,kanaékan
kenal,wawuh
kenalan,kawanohan
kenapa,naha
kencang,gancang
kencing,kiih
kencur,cikur
kendala,hahalang
kendali,kadali
kendaraan,tutumpakan
kendati,sanajan
kendur,pelendong
kenegaraan,kanagaraan
kening,tarang
kental,kentel
kental,medok
kentongan,kohkol
kentut,hitut
kenyal,geunyal
kenyang,wareg
kenyataan,kanyataan
keotentikan,kaoténtikan
kepada,ka
kepadanya,pikeun manéhna
kepal,keupeul
kepala,babatok
kepala,sirah
kepala,kapala
kepala,hulu
kepalan,peureup
kepalanya,sirahna
kepastian,kapastian
kepedulian,kapadulian
kepemilikan,kapimilik
kepemimpinan,kapamingpinan
kepentingan,kapentingan
kepentingannya,kapentinganana
kepercayaan,puhit
kepercayaan,kapercayaan
kepercayaannya,kapercayaanana
keperluan,kaperluan
keperluannya,kaperluanana
kepiawaian,kaahlian
kepintaran,jajatén
kepolisian,kapulisian
keponakan,alo
keponakannya,alona
kepribadian,kapribadian
kepulauan,kapuloan
kepung,tingker
keputusan,kaputusan
kerabat,baraya
keracunan,karacunan
keraguan,kamangmang
kerah,sambleh
kerai,widé
kerajaan,karajaan
keramik,gagarabah
kerangka,carangka
keranjang,karinjang
kerap,mindeng
keras,teuas
kerbau,munding
kereta,karéta
kering,garing
keringat,késang
keriput,kérod
keris,
kerja,gadag
kerja,gawé
kerjaan,pagawéan
keropos,koropok
keroyok,dikerubut
kertas,
kerudung,tiung
kerugian,rugi
keruh,kiruh
keruk,
kerumun,gurumut
kerumun,gimbung
kerusakan,karuksakan
kerusakannya,karuksakanana
kesadaran,kasadaran
kesal,kaluman
kesalahan,kasalahan
kesamaan,sasaruaan
kesamaannya,sasaruanana
kesan,gambaran
kesedihan,kahanjelu
kesehatan,kaséhatan
kesejagatan,kasajagatan
kesejahteraan,karaharjaan
keselamatan,kasalametan
keselamatannya,kasalamatenana
keseluruhan,sakabéh
kesempatan,kasempetan
kesenian,kasenian
kesepakatan,kasapukan
keseragaman,kasaragaman
kesetiaan,kasatiaan
kesiangan,kasiangan
kesibukan,kasibukan
kesimpulan,kacindekan
kesimpulannya,kacindekanana
kesulitan,kahésé
kesulitan,kasulitan
kesusilaan,kasusilaan
ketahuan,kanyahoan
ketahui,nyaho
ketakutan,sieun
ketam,yuyu
ketat,heureut
ketatanegaraan,katatanagaraan
ketek,kélék
ketemu,papanggih
ketentraman,katingtriman
ketentuan,katangtuan
keterangan,katerangan
ketergantungan,kagumantungan
ketergantungannya,kagumantunganana
keterlaluan,kabina-bina
ketertiban,kalantipan
ketiak,kélék
ketidakpastian,kateupastian
ketidakseimbangan,teu saimbangna
ketiduran,kasaréan
ketiga,katilu
ketika,sabot
ketimbang,tinimbang
ketinggalan,tinggaleun
ketinggian,jangkungna
ketinggiannya,luhurna
ketua,pupuhu
ketuhanan,kapangéranan
ketupat,kupat
keturunan,turunan
keuangan,kaduitan
keuangannya,kaduitanana
keunggulan,kapinunjulan
keunikan,unikna
keuntungan,kauntungan
kewajiban,kawajiban
kewajibannya,kawajibanana
kewalahan,kawalahan
keyakinan,kayakinan
khas,has
khasiatnya,hasiatna
khawatir,hariwang
khawatir,salempang
khazanah,hasanah
khusuk,banter
khusus,husus
khususnya,hususna
kiamat,
kian,beuki
kidal,kédé
kikir,kumed
kikir,cedit
kikir,koret
kilat,
kilometer,kilométer
kini,kiwari
kios,
kiosnya,kiosna
kipas,hihid
kira,
kiranya,kirana
kiri,kénca
kirim,
kisah,carita
kita,urang
kita,urang
kitab,
klik,
koalisi,
koclak,
kode,
koin,
kok,bet
kol,engkol
kolom,lajur
kolonel,kolonél
kolonial,
koma,
komandan,
komandannya,komandanna
komando,
komat-kamit,kunyam-kunyem
komentar,koméntar
komentarnya,koméntarna
komersial,komérsial
komisaris,
komitmen,
kompensasi,kompénsasi
kompetisi,
komplet,kumplit
komponen,komponén
komputer,
komputernya,komputerna
kondisi,kaayaan
kondisinya,kondisina
koneksi,konéksi
konferensi,konférénsi
konfirmasi,
kongres,kongrés
konsep,konsép
konspirasi,
konsul,
konsumen,konsumén
konsumsi,
kontak,
koperasi,
kopi,
koran,
korban,
koreksi,koréksi
koresponden,koréspondén
korosi,karatan
korps,
korpsnya,korpsna
korupsi,calikong
kosong,
kota,dayeuh
kotak,
kotakan,
kotor,bagedur
kotor,
kotor,reged
kotoran,kokotor
kriminal,
krisis,
kristen,
kritik,
kritis,
kualitas,
kualitasnya,kualitasna
kuasa,kawasa
kuat,
kuatir,melang
kuburan,pajaratan
kucing,ucing
kuda,
kudeta,kudéta
kue,kueh
kuis,
kujang,
kuku,
kukuh,pengkuh
kukusan,aseupan
kuli,
kuliah,
kuliahnya,kuliahna
kuliner,
kulit,
kulum,kemot
kumal,lodro
kuman,jaram
kumis,
kumpul,riung
kumpul/bergerombol,liud
kumur,gugurah
kunci,konci
kuncinya,koncina
kuning,konéng
kuningan,
kunjungan,datangna
kunjungi,datangan
kuno,kuna
kunyit,konéng
kuping,ceuli
kupu-kupu,kukupu
kura-kura,kuya
kurang,nyangkolong
kurang,cocéng
kurang,
kurma,korma
kursi,korsi
kursinya,korsina
kurus,kuru
kurus,begang
kusut,busik
kusut,karijut
kusut,pajurawet
kusut,kusial
kutu,
laba-laba,lancah
lada,pedes
lagi,deuih
lagi,deui
lagu,
lagunya,laguna
lagunya,kawihna
lahan,
lahannya,lahanna
lahir,
lain,séjén
lain/selain,lian
lainnya,lianna
lainnya,séjénna
laksamana,
laku,
lakukan,pigawé
lalat,laleur
lalim,
lalu,kaliwat
lalu,tuluy
lama,heubeul
lama,lila 
lamanya,lilana
lambang,
lambat,laun
lampu,
lancar,
lancip,léncop
langganan,
langit,
langit,wiati
langka,
langkah,léngkah
langkahi,léngkahan
langsung,langsung
lanjut,tuluy
lanjutnya,terusna
lantai,lanté
lantaran,lantaran
lantas,saterusna
lapangan,lapang
lapar,
laporan,
laporannya,laporanana
larang,cegah
larangan,
laras,
lari,lumpat
laron,siraru
latar,kasang
latihan,
laut,
laut,sagara
lawan,
layak,meujeuhna
layan,
layanan,
layar,
lazim,sawajarna
lebam,geuneuk
lebar,rubak
lebaran,
lebat,leubeut
lebih,leuwih
lebih baik,mending
lega,bungangang
leher,beuheung
lelah,capé
lelaki,lalaki
leluasa,laluasa
leluasa,sabaraé
lelucon,guguyon
leluhur,karuhun
lemari,lomari
lemas,leuleus
lembab,beueus
lembaga,
lembah,landeuh
lembah,léngkob
lembar,kebet
lembaran,
lembek,nampuyak
lembong,
lempar,balédog
lempar,alung
lengah,balangah
lengah,meléng
lengah,cileureun
lengah,bongoh
lengang,keupat
lengkap,pepek
lengkapi,lengkepan
lengkapnya,pepekna
lengket,masket
lengkong,léngkong
lengkuas,laja
lengkung,pelengkung
lepas,lepot
lepas,leupas
lepas,ucul
lepas,locot
lepas,lésot
lereng,lamping
lesung,lisung
letak,lokasi
letaknya,tempatna
letkol,létkol
letnan,létnan
lewat,liwat
licik,
lidah,létah
lidi,nyéré
lihat,deléh
lihat,tempo
lima,
lindu,lini
lingkaran,bunderan
lingkungan,
lingkup,wengkuan
lipat,pintel
lipat,lipet
lisensi,lisénsi
listrik,
liter,
literatur,pustaka
liur,acay
lokasi,
lolos,leupas
lomba,pasanggiri
loncat,ngacleng
loncat,luncat
loncat,ngajleng
longgar,logor
longgar,loncér
longsor,urug
los,
lowongan,
luar,
luas,ablag
luas,aplak
luas,lega
lubang,lombang
lubang,liang
luber,limpas
lubuk,leuwi
lucu,
ludah,ciduh
luhurnya,luhurna
luka,tatu
luka,jaheut
lulus,
lulusan,
lumayan,
lumpur,leutak
lumut,lukut
lunak,beyé
lunas,punah
luntur,muntah
lupa,poho
lurus,lempeng
lusa,pagéto
lusuh,leuseuh
lutut,tuur
maaf,hampura
mabuk,mabok
macam,macem
madya,
maen,ulin
maghrib,magrib
mahal,
mahasiswa,
mahir,mahér
mahkamah,
mahkota,makuta
mahligai,maligé
main,ulin
mainan,kaulinan
majalah,
majelis,
maju,
majunya,majuna
maka,mangka
makam,astana
makan,dahar
makan-makan,balakécrakan
makanan,kadaharan
makar,
makin,beuki
makin,mingkin
maklum,ma'lum
makna,harti
maksud,
maksudnya,pamaksudanna
maksudnya,maksudna
malah,malahan
malah,malah
malah,kalahka
malaikat,malaékat
malam,peuting 
malang,
malarat,masakat
malas,kedul
malu,éra
mampir,nyimpang
mampu,sanggup
mana,
manajemen,manajemén
mancanegara,mancanagara
mancung,
mandek,nagen
mandi,
mandiri,teuneung
mandul,gabug
manfaat,mangpaat
manfaatnya,mangpaatna
manggis,manggu
mangkir,ngangles
manis,amis
manja,ogo
mantan,urut
manusia,manusa
manyun,
marah,ambek
maret,
mari,hayu
maritimnya ,maritimna
markas,
markasnya,markasna
martabat,ajén
masa,mangsa
masalah,
masalahnya,masalahna
masih,
masing,séwang
masjid,
maskawin,mahar
massa,
masuk,abus
masuk,asup
masuk/cukup,panjing
masukkan,ngasupkeun
masukkan,asupkeun
masuknya,asupna
masyarakat,balaréa
masyarakat,kumbuh
masyarakat,masarakat
masyarakatnya,masarakatna
mata,panon
matahari,sarangéngé
matahari,panonpoé
matang,asak
matanya,panonna
materiil,materil
mau,daék
maupun,atawa
maya,
mayat,mayit
mayat,layon
mayor,
media,média
medis,médis
megapolitan,
mei,méi
meja,méja
mekanik,mékanik
mekaniknya,mékanikna
mekar,
melacur,madon
meladeni,ngaladénan
melahirkan,ngababarkeun
melainkan,kalah
melaksanakan,ngalaksanakeun
melakukan,ngalakukeun
melakukan,ngalakonan
melakukannya,ngalakonanana
melalui,ngaliwatan
melampaui,ngaleuwihan
melamun,ngalamun
melanda,nandangan
melanggar,ngarémpak
melanggengkan,ngalanggengkeun
melangkah,ngaléngkah
melangkahi,ngaléngkahan
melanjutkan,neruskeun
melanjutkan,nuluykeun
melansir,ngaluarkeun
melantik,ngistrénan
melapor,ngalapor
melaporkan,ngalaporkeun
melarang,nyaram
melarang,ngahulag
melarangnya,ngararangna
melarat,kokoro
melarikan,mawa lumpat
melata,ngaléor
melatih,ngalatih
melawan,ngalawan
melayang,ngalayang
melayangkan,ngalayangkeun
melayani,ngaladénan
melebihi,ngaleuwihan
melecehkan,ngécé
meledak,ngajelegur
melekat,némpél
meleleh,lééh
melempar,ngabalangkeun
melenceng,giwar
melengkapi,ngalengkepan
melengkung,bingkeng
melengkungkan,melengkungkeun
melepaskan,ngalaan
meletakkan,nyimpen
meletus,bitu
melewati,ngaliwatan
melewatkan,ngaliwatkeun
melihat,nempo
melihat-lihat,laha-loho
melindungi,nangtayungan
melintas,ngaliwat
meliputi,ngawengku
melirik,ngarérét
meliuk-liuk,ngagéboy
melonjak-lonjak,ancul-anculan
melotot,molotot
meluas,ngalegaan
melubangi,ngabolongan
melucuti,ngalucutan
melunakkan,nguduhkeun
melupakan,mopohokeun
memadai,nyukupan
memadati,minuhan
memagari,mageran
memahami,nyurtian
memajukan,ngamajukeun
memakai,maké
memakai,maké
memakainya,makéna
memakainya,makena
memakan,ngadahar
memaklumi,ngamaklum
memaknai,ngamaknaan
memalukan,ngérakeun
memancing,mancing
memancing,nguseup
memandang,melong
memanfaatkan,ngamangpaatkeun
memanggang,meuleum
memanggil,ngagero
memanggil-manggil,nyambat
memangku,ngalahun
memangnya,emangna
memanjakan,ngugung
memanjakan,ngawowoy
memanjang,manjang
memantau,ngawaskeun
memaparkan,ngadadarkeun
memar,eumeur
memarahi,nyarékan
memarkir,markir
memasak,masak
memasang,masangkeun
memasarkannya,masarkeunnana
memastikan,mastikeun
memasuki,ngasupan
memasukkan,ngasupkeun
memasyarakatkan,ngamasarakatkeun
mematenkan,maténkeun
mematuk,macok
membaca,maca
membacakan,ngabacakeun
membacanya,macana
membacok,ngadék
membagi,ngabagi
membagikan,ngabagikeun
membahas,ngabahas
membahayakan,ngabahayakeun
membaik,ngaalusan
membajak,ngabajo
membakar,ngaduruk
membakar,ngabeuleum
membalas,ngabales
membangkang,ngabahula
membangkang,baha
membangun,ngawangun
membangunkan,ngahudangkeun
membangunkan,ngageuingkeun
membantah,néngtéréwéléng
membantu,ngabantuan
membantu,mantuan
membara,ruhay
membara,burahay
membasuh,nyimbeuh
membatalkan,ngabolaykeun
membatas,ngawates
membatasi,ngabatesan
membawa,mawa
membawanya,ngabawa
membayangkan,ngabayangkeun
membayar,mayar
membebani,ngabeungbeuratan
membebani,ngaganggayong
membebaskan,ngaleupaskeun
membedakan,ngabédakeun
membeku,ngimpel
membelanjai,ngabalanjaan
membeli,meuli
membenarkan,ngabenerkeun
membendung,mendet
membentak-bentak,hahaok
membentuk,nyieun
memberantas,numpes
memberatkan,ngabeungbeuratan
memberi,méré
memberi,mikeun
memberi,mawéh
memberikan,mikeun
memberitahu,ngabejaan
memberitakan,ngawartakeun
memberitakan,ngawartakeun
membersihkan,ngabersihkeun
membesut,ngabesut
membiarkan,ngantep
membiayai,ngabiayaan
membicarakan,ngomongkeun
membidik,ngécéng
membidik,nyéntang
membina,ngabina
membingungkan,ngabingungkeun
membiru,geuneuk
membocorkan,ngabocorkeun
membonceng,nepong
membongkar,ngakat
memborbardir,ngabombardir
memborong,ngaborong
membuang,miceun
membuat,nyieun
membuatkan,mangnyieunkeun
membubarkan,ngabubarkeun
membujang,ngalagena
membuka,muka
membungkuk,dongko
membunuh,maéhan
memburu,moro
membutuhkan,merlukeun
memecah,meupeus
memegang,nyekel
memekarkan,ngamekarkeun
memelihara,miara
memelihara,miara
memelintir,mulintirkeun
memenangi,ngameunangan
memenangkan,meunang
memendekkan,mondokkeun
memengaruhi,mangaruhan
memenuhi,nyumponan
memenuhi,nohonan
memenuhi,minuhan
memenuhinya,nyumponanana
memerahkan,ngabeureumkeun
memerangi,merangan
memeras,meres
memercik,muncrat
memerhatikan,nengetan
memeriksa,mariksa
memerintah,maréntah
memerintahkan,maréntahkeun
memerlukan,merlukeun
memesan,mesen
memfasilitasi,nyadiaan
memihak,mihak
memihak,ngabiluk
memijat,meuseul
memikirkan,mikiran
memikirkannya,mikiranana
memikul,manggul
memilah-milah,ngawilah-wilah
memilih,milih
memilih-milih,milih-milih
memiliki,ngabogaan
memimpin,mingpin
memindah-mindahkan,mindah-mindahkeun
memindahkan,mindahkeun
meminta,ménta
meminum,nginum
memisahkan,misahkeun
memotong,motong
mempengaruhi,mangaruhan
memperbaiki,ngabenerkeun
memperbaikinya,ngabenerkeunana
memperbesar,ngagedéan
memperbolehkannya,ngidinan manéhna
mempercayai,mercayaan
mempercayakan,mercayakeun
memperhatikan,nengetan
memperingati,miéling
memperkenalkan,ngawanohkeun
memperketat,ngaheureutkeun
memperkuat,nguatkeun
memperlihatkan,nempokeun
memperoleh,meunang
memperoleh,nampa
memperolok-olok,ngaléléwé
memperpanjang,manjangkeun
mempersiapkan,nyiapkeun
mempertahankan,ngabéla
mempertanyakan,nananyakeun
mempertaruhkan,nandonkeun
mempertebal,ngandelan
mempertimbangkan,nimbang-nimbang
memproduksi,mroduksi
mempunyai,miboga
memuaskan,nyugemakeun
memudahkan,ngagampangkeun
memuja,muja
memuji,muji
memukul,neunggeul
memukul,nakol
memukuli,neunggeulan
memulai,mitembeyan
memulai,eungkeut-eungkeut
memuliakan,ngamuliakeun
memulihkan,nyageurkeun
memungkinkan,matak bisa
memupuk,ngagemukan
memutar,muter
memutuskan,megatkeun
men,nga
menabuh,nabeuh
menabur,ngawur
menagih,nagih
menahan,nahan
menaiki,naékan
menaikkan,naékkeun
menambah,nambahan
menambahkan,nambahan
menampilkan,mintonkeun
menampung,nandéan
menampungnya,nandéanana
menanam,melak
menancap,nyeceb
menancap,mebes
menancapkan,mancegkeun
menandakan,nandakeun
menandaskan,nanjeurkeun
menandatangani,nandatanganan
menanduk,ngagadil
menang,meunang
menangani,nungkulan
menanggapi,nanggepan
menanggung,nanggung
menangis,ceurik
menangkap,nyerek
menangkap,néwak
menangkapi,néwakan
menantang,nangtang
menanti,ngadagoan
menantu,minantu
menanyakan,nanyakeun
menargetkan,nargétkeun
menari,rampayak
menarik,metot
menatap,melong
menawar,ngawar
menawarkan,nawarkeun
mencabut,nyabut
mencakar,ngaut
mencakar,ngerewes
mencakup,ngawengku
mencanangkan,ngémbarkeun
mencangkul,macul
mencangkulnya,maculna
mencapai,ngahontal
mencaplok,nyapluk
mencari,néangan
mencari-cari,ngotéktak
mencatat,nyatet
mencatatkan,nyatet
mencegah,nyegah
mencela,nyempad
mencela,nyegék
mencela,nyawad
menceritakan,nyaritakeun
mencibir,ngajebian
mencicil,nyicil
mencicipi,ngasaan
mencicipi,nyicip
mencintai,mitresna
menciptakan,nyiptakeun
mencium,nyium
menciumi,ngagaléntoran
mencoba,mecakan
mencoba,nyobaan
mencoba,ngajaran
mencoba-coba,nyoba-nyoba
